CONSULTA_PORTAL;TIPO_CONSULTA;TIPO_CAMPO_PORTAL;CAMPO_PORTAL;TABELA_CAMPO_DER;CAMPO_DER_EXIBIDO_PORTAL;CAMPO_DERIVADO;CAMPO_SIAFI;DIMENSAO_SIAFI;TOOLTIP_SIAFI;CAMPO_GRP;DIMENSAO_GRP;TOOLTIP_GRP;NOVO_CAMPO_GRP;DIGITOS_SIAFI;DIGITOS_GRP;OBSERVACAO
Compras e Contratos;formulário de detalhamento;númerico;Nº do empenho;;;;Número Empenho;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Número do documeto de empenho;Número Empenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Número único do documento de empenho;;;;
Compras e Contratos;formulário de detalhamento;descrição;Credor - nome;;;sim;Razão Social Credor;Execução Orçamentária da Despesa >> Despesa Realizada >> Credor - Despesa;Razão Social Credor;pessoa - Nome;Pessoa;Nome da pessoa;;;;
Compras e Contratos;formulário de detalhamento;código;Credor - código;;;sim;CNPJ_CPF credor númerico;Execução Orçamentária da Despesa >> Despesa Realizada >> Credor - Despesa;Código de CNPJ ou CPF do credor;Inscrição pessoa;Pessoa;Número completo da inscrição da pessoa no CPF, CNPJ, CAPF ou CAPJ;;;;
Compras e Contratos;formulário de detalhamento;valor;Valor;;;;valor inicial Empenho;Execução Orçamentária da Despesa >> Despesa Realizada ;Valor inicial em reais do empenho;Valor Empenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Valor, em reais, inicial do documento de empenho;;;;
Compras e Contratos;formulário de detalhamento;código;Unidade Orçamentária - código;;;sim;Unidade Orçamentária - código;Unidade Orçamentária;Código representativo da unidade orçamentária (4 dígitos);UnidadeOrçam - Código;Unidade Orçamentária;Código representativo da Unidade Orçamentária (5 dígitos);;4;5;
Compras e Contratos;formulário de detalhamento;descrição;Unidade Orçamentária - descrição;;;sim;Unidade Orçamentária - nome;Unidade Orçamentária;Nome completo da unidade orçamentária;UnidadeOrçam - Nome;Unidade Orçamentária;Nome completo da Unidade Orçamentária;;;;
Compras e Contratos;formulário de detalhamento;código;Programa de Trabalho - código;;;sim;Programa - Código;Execução Orçamentária da Despesa >> Despesa Realizada >> Programa de Trabalho - Despesa;Código identificador do objetivo concreto, bem ou serviço que se quer atingir (1 a 999);Programa - Código;Funcional Programática;Código identificador do instrumento de organização da ação governamental visando à concretização dos objetivos pretendidos (3 dígitos);;3;3;
Compras e Contratos;formulário de detalhamento;descrição;Programa de Trabalho - descrição;;;sim;Programa - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Natureza da Despesa Realizada;Descrição do objetivo concreto, bem ou serviço que se quer atingir;Programa - Descrição;Funcional Programática;Denominação do instrumento de organização da ação governamental visando à concretização dos objetivos pretendidos;;;;
Compras e Contratos;formulário de detalhamento;código;Natureza da Despesa - código;;;sim;NÃO LOCALIZADO - Natureza da Despesa - código;;;NÃO LOCALIZADO;;;;;;https://github.com/dados-mg/compras-contratos/issues/5
Compras e Contratos;formulário de detalhamento;descrição;Natureza da Despesa - descrição;;;sim;NÃO LOCALIZADO - Natureza despesa descrição;;;NÃO LOCALIZADO;;;;;;https://github.com/dados-mg/compras-contratos/issues/5
Compras e Contratos;formulário de detalhamento;código;Fonte - código;;;sim;Fonte de Recurso - Código;Execução Orçamentária da Despesa >> Despesa Realizada >> GMIFP - Despesa;Código referente à fonte dos recursos financeiros, de acordo SIAFI-MG (2 dígito);FonteRecurso - Código;Fonte de Recurso;Código numérico identificador da origem e da natureza dos recursos orçamentários (3 dígitos);;2;3;
Compras e Contratos;formulário de detalhamento;descrição;Fonte - descrição;;;sim;Fonte de Recurso - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> GMIFP - Despesa;Descrição da fonte dos recursos financeiros;FonteRecurso - Descrição;Fonte de Recurso;Denominação da origem e da natureza dos recursos orçamentários;;;;
Compras e Contratos;formulário de detalhamento;descrição;Tipo de Empenho;;;;Tipo Empenho  - Descrição;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Descrição do tipo de empenho: ordinário, Estimativo, Global, Extra-orçamentário;Tipo Empenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;"Descrição do tipo do empenho: Ordinário; Estimativo; Global; ";;;;
Compras e Contratos;formulário de detalhamento;data;Data de Registro;;;;Data Registro Doc Empenho;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados do Empenho - Despesa;Data completa do registro do documeto de empenho (DD/MM/AAAA);Data Registro Empenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Data de registro do empenho, do reforço do empenho ou da anulação do empenho (Formato DD/MM/AAAA);;;;
Compras e Contratos;formulário de detalhamento;código;Dotações Orçamentárias;;;sim;Junção dos Campos: UO+Função+Subfunção+Programa+Ação+Subação+Categ. Econômica+Grupo+Modalidade+Elemento Item+IAG+Fonte+Procedência;;;;;;;;;https://github.com/dados-mg/compras-contratos/issues/8
Compras e Contratos;formulário de detalhamento;descrição;Histórico de Referência;;;;NÃO LOCALIZADO - Descrição do Empenho;;;Justificativa Empenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada  >> Documento de Empenho;Descrição da justificativa de registro do empenho no documento de empenho;;;;
Compras e Contratos;formulário de detalhamento;númerico;Nº do Reforço;;;;NÃO LOCALIZADO - Número documento do Reforço;;;Número ReforçoEmpenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Número único do documento de reforço do empenho;;;;
Compras e Contratos;formulário de detalhamento;data;Data;;;;Data Reforço/Anulação;Execução Orçamentária da Despesa >> Despesa Realizada >> Dados Reforço / Anulação - Despesa;Data completa do registro de reforço/anulação do empenho (DD/MM/AAAA);Data Registro Empenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Data de registro do empenho, do reforço do empenho ou da anulação do empenho (Formato DD/MM/AAAA);;;;
Compras e Contratos;formulário de detalhamento;valor;Valor;;;;Valor Reforço Empenho;Execução Orçamentária da Despesa >> Despesa Realizada ;Valor , em reais, de acréscimo ao valor inicial do empenho;Valor Empenho Reforço;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Valor, em reais, do acréscimo de empenho contido no documento de reforço de empenho.;;;;
Compras e Contratos;formulário de detalhamento;númerico;Nº da Anulação;;;;NÃO LOCALIZADO - Número documento do liquidação;;;Número AnulaçãoEmpenho;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Número único do documento de reforço do empenho;;;;
Compras e Contratos;formulário de detalhamento;valor;Valor;;;;Valor Anulação Empenho;Execução Orçamentária da Despesa >> Despesa Realizada ;Valor, em reis, da anulação de parte ou de todos o valor do empenho;Valor Empenho Anulação;Execução-Orçamentária-da-despesa >> Despesa Empenhada ;Valor, em reais, do decréscimo de empenho contido no documento de anulação de empenho.;;;;
